Sl.No,Name,Postal Address,District
1,Kathog Dorjeden Gonpa,P.O. Pakyong, East Sikkim
2,Enchey Sangag Rabtenling Gonpa,P.O. Raj Bhavan, Gangtok E.Sikkim
3,Lingkoed “Chokhor Yangtse” Gonpa,P.O. Matsang, E. Sikkim
4,Simig “Sangag Dudul ling” Gonpa,P.O. Simick, East Sikkim
5,Pathing Matsang ‘Rinchen Tse Gonpa,P.O. Matsang, East Sikkim
6,Tsuklakhang Gonpa (Royal Chapel),P.O. Gangtok, East Sikkim
7,Samdong Mintokgang Gonpa,P.O. Samdong, East Sikkim
8,Amba Mamring Gonpa,P.O. Pakyong, E. Sikkim
9,Choten (Chhoedten) Gonpa,P.O. Deorali, Gangtok E.Sikkim
10,Raloong Gonpa,P.O. Central Pandam, E. Sikkim
11,Rakdong Gonpa,P.O. Rakdong, East Sikkim
12,Guru Kubum Sangchoe Gonpa,P.O. Deorali, E. Sikkim
13,Bakcham Gonpa (Dechenling area),P.O. Raj Bhavan, East Sikkim
14,Taktse “Ugen Chokhorling” Ani Gonpa,P.O. Bojogari, East Sikkim
15,Gonjang “Ogyen Dongag Chokhorling” Gonpa,P.O. Bojogari, East Sikkim
16,Sichey Dechen Choling Tamang Gonpa,P.O. Gangtok, East Sikkim
17,Dolepchen Boudha Sanskrit Gonpa,P.O. Dolepchen Aritar Rinak,East Sikkim
18,Singtam ‘Karma Thuje Choling’ Gonpa,P.O. Singtam, East Sikkim
19,Burtuk “Ugen Pema Choling” Tamu Gonpa,P.O. Gangtok, East Sikkim
20,Samshing Lamzang Choling Gonpa,P.O. Pakyong, East Sikkim
21,Bongyong “Khachoed Pemayuling” Ani Gonpa,P.O. Rangka, East Sikkim
22,Phensong ‘Sangag Choding’ Gonpa,P.O. Phensong, N. Sikkim
23,Tsunthang “Rig-dzin Choling” Gonpa,P.O. Chungthang, N. Sikkim
24,Tholung Gonpa,P.O. Lingzha,U.Dzongu N.Sikkim
25,Labrang “Palden Phuntsog” Gonpa,P.O. Phodong, North Sikkim
26,Tingbung “Rigzin Tharling” Gonpa,P.O.Tingbung, U.Dzongu North Sikkim
27,Lachung “Samten Choling” Gonpa,P.O. Lachung, North Sikkim
28,Ringyim “Rig-dzin Choling” Gonpa,P.O.Mangan, North. Sikkim
29,Lingthem“Chophel Dhargyeling” Gonpa,P.O. Pashingthang, U. Dzongu N.Sikkim
30,Lachen “Ngodrub Choling” Gonpa,P.O. Lachen, North Sikkim
31,Sontam Tensung Gonpa,P.O. Mangan, North Sikkim
32,Singchit Ngadak Gonpa,P.O. Mangan, North Sikkim
33,Ship “Kunzang Choling” Gonpa,P.O. Tong, U.Dzongu North Sikkim
34,Kabi ‘Sangag Dargyeling’ Gonpa,P.O. Kabi, North Sikkim
35,Hee Gyathang “Tashi Choling” Gonpa,P.O.Hee Gyathang,Upper Dzongu N. Sikkim
36,Malam Gonpa,P.O.Chawang, North Sikkim
37,Taring (Dargyeling Choling) Gonpa,P.O. Gor School, U.Dzongu North Sikkim
38,Tsawang Choling Gonpa,P.O. Chawang, N. Sikkim
39,Naga “Ugen-Sangdoling” Gonpa,P.O.Naga, North Sikkim
